Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B1,~,VL53L0X,148.59,-85.09,0,top
IC1,LTC4316CMS#PBF,SOP50P490X110-10N,148.59,-70.866,0,top
J1,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,157.3022,-75.438,-90,top
J2,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,139.7974,-75.43,90,top
R1,R_HT,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,145.3438,-77.0128,0,top
R2,R_HB,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,150.1146,-77.0128,0,top
R3,R_LT,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,144.4128,-74.9046,0,top
R4,R_LB,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,149.2852,-74.9046,0,top
REF**,VL53L0X Mounting Hole,VL53L0X Mounting Hole,154.9908,-76.6572,0,top
REF**,VL53L0X Mounting Hole,VL53L0X Mounting Hole,142.1892,-76.6572,0,top
